102E49111,01,0,0,1,1,2,5,8,21,21,7,3.68
102 49111,02,0,1,1,0,0,3,2,10,12,1,3.62
102 49111,03,0,0,0,0,1,2,8,31,25,7,3.782
102E49111,04,0,0,0,0,1,5,26,22,7,0,3.49
102 49111,05,0,0,0,0,0,1,2,35,31,0,3.813
102 49111,06,0,0,0,0,1,0,2,14,10,4,3.816
102E49111,07,1,0,2,0,4,4,7,16,8,0,3.36
102 49111,08,0,0,1,3,0,3,7,24,30,3,3.7
102 49111,09,0,0,0,0,0,5,0,9,20,12,3.911
102 49121,01,2,2,0,1,1,0,4,7,8,2,3.263
102 49121,02,0,0,1,3,5,6,6,15,8,4,3.435
102 49121,03,0,0,0,1,4,2,9,18,26,7,3.724
102 49121,04,2,0,0,0,0,0,9,17,23,23,3.831
102E49121,05,1,1,1,1,5,9,10,32,11,7,3.487
102 49121,06,3,0,2,3,3,10,14,26,13,0,3.289
102 49121,07,1,0,0,0,0,1,1,9,11,5,3.754
102 49121,08,0,0,3,0,0,2,4,10,11,4,3.629
102 49121,09,0,0,0,0,2,3,4,10,16,3,3.724
102 49131,01,1,0,0,0,3,2,2,6,8,0,3.405
102E49131,02,1,0,0,0,1,6,9,26,9,0,3.512
102 49131,03,0,0,1,0,1,14,17,13,8,1,3.404
102 49400,,0,0,0,0,0,0,0,1,10,4,4.06
102 50040,,1,2,0,2,16,13,27,16,22,16,3.437
102E50111,01,0,0,0,0,3,1,7,32,34,11,3.817
102E50111,02,0,0,1,0,0,1,4,34,32,14,3.863
102E50111,03,0,1,2,5,15,13,22,17,2,0,3.119
102E50111,04,0,2,0,0,2,3,8,31,33,7,3.733
102E50111,05,0,0,0,0,3,11,10,19,25,12,3.7
102E50111,06,0,2,0,0,2,6,13,31,22,7,3.645
102E50111,07,0,2,3,5,10,13,13,8,10,2,3.152
102E50121,01,1,0,0,0,0,0,1,2,19,65,4.161
102E50121,02,2,0,0,0,4,16,12,36,12,2,3.431
102E50121,03,0,1,2,2,8,4,15,13,14,9,3.474
102E50121,04,1,0,1,1,5,9,9,41,16,5,3.542
102E50121,05,0,0,1,0,6,15,29,11,3,3,3.301
102E50121,06,1,1,1,0,0,7,8,20,27,18,3.741
102E50121,07,0,0,0,2,4,16,14,19,11,9,3.501
102E50121,08,3,0,0,1,2,5,6,18,20,22,3.684
102E50121,09,0,0,0,0,0,2,3,11,14,13,3.919
102E53100,,3,0,0,0,0,0,1,9,10,0,3.33
102 53620,01,0,1,0,0,3,10,19,51,30,12,3.673
102 53620,01,0,1,0,0,3,10,19,51,30,12,3.673
102 53620,02,0,0,0,0,2,3,7,36,34,4,3.766
102 53620,02,0,0,0,0,2,3,7,36,34,4,3.766
102 53670,,0,0,0,0,0,1,2,18,26,4,3.871
102 53670,,0,0,0,0,0,1,2,18,26,4,3.871
102 53680,,1,0,0,0,3,9,11,52,15,3,3.582
102 53680,,1,0,0,0,3,9,11,52,15,3,3.582
102 53690,01,0,0,0,0,1,0,4,17,28,11,3.903
102 53690,01,0,0,0,0,1,0,4,17,28,11,3.903
102 53690,02,1,0,0,0,0,0,3,12,36,13,3.911
102 53690,02,1,0,0,0,0,0,3,12,36,13,3.911
102 53780,,0,0,0,0,0,0,2,8,22,8,3.965
102 53780,,0,0,0,0,0,0,2,8,22,8,3.965
102 53820,,0,1,0,1,0,1,4,7,8,0,3.55
102 53990,,1,0,0,0,0,0,0,3,1,1,3.233
102 53990,,1,0,0,0,0,0,0,3,1,1,3.233
102E83020,01,2,1,0,1,4,6,10,25,32,19,3.68
102 83020,02,8,6,9,5,5,8,13,30,26,12,3.17
102 83020,02,8,6,9,5,5,8,13,30,26,12,3.17
102E83020,03,5,0,4,5,4,11,10,18,21,10,3.294
102E83020,03,5,0,4,5,4,11,10,18,21,10,3.294
102E83020,04,1,1,1,4,11,26,42,18,9,8,3.274
102E83020,04,1,1,1,4,11,26,42,18,9,8,3.274
102E83020,05,1,6,4,7,7,15,28,25,24,15,3.361
102E83020,06,1,1,0,3,2,5,11,20,13,10,3.55
102E83020,06,1,1,0,3,2,5,11,20,13,10,3.55
102 83020,07,1,1,2,1,6,9,6,9,23,8,3.495
102 83020,07,1,1,2,1,6,9,6,9,23,8,3.495
102 83020,07,1,1,2,1,6,9,6,9,23,8,3.495
102 83020,08,0,0,1,1,0,6,7,8,4,4,3.49
102 83020,08,0,0,1,1,0,6,7,8,4,4,3.49
102 83020,08,0,0,1,1,0,6,7,8,4,4,3.49
102 83020,09,1,1,2,0,2,5,6,22,14,9,3.581
102 83020,09,1,1,2,0,2,5,6,22,14,9,3.581
102 83020,09,1,1,2,0,2,5,6,22,14,9,3.581
102E83020,10,3,0,0,0,3,11,13,16,6,7,3.344
102E83020,10,3,0,0,0,3,11,13,16,6,7,3.344
102E83020,11,6,3,1,12,6,29,27,47,21,12,3.271
102E83020,11,6,3,1,12,6,29,27,47,21,12,3.271
102E83020,11,6,3,1,12,6,29,27,47,21,12,3.271
102 83210,01,0,2,2,2,5,11,9,44,59,27,3.746
102 83310,01,7,6,5,12,11,8,20,38,31,21,3.286
102 83310,02,6,3,6,11,15,17,28,28,23,18,3.221
102E83310,04,14,12,10,6,9,11,9,18,28,48,3.189
102 83310,05,1,0,1,3,3,2,12,16,29,24,3.747
102E83310,06,3,3,3,3,11,5,7,36,47,52,3.709
